Participant,Hand,Expected Gesture,Predicted Gesture,Confidence,File,Correct
Finch,Left,Goodbye,Hello,0.9900714159011841,Finch-Goodbye_Left_2025-04-04_13-28-52.csv,False
Finch,Left,Goodbye,Hello,0.9917346239089966,Finch-Goodbye_Left_2025-04-04_13-28-53.csv,False
Finch,Left,Goodbye,Hello,0.9920299053192139,Finch-Goodbye_Left_2025-04-04_13-28-54.csv,False
Finch,Left,Goodbye,Hello,0.9764045476913452,Finch-Goodbye_Left_2025-04-04_13-28-55.csv,False
Finch,Left,Goodbye,Hello,0.9918211698532104,Finch-Goodbye_Left_2025-04-04_13-28-58.csv,False
Finch,Right,Goodbye,Goodbye,0.9981081485748291,Finch-Goodbye_Right_2025-04-04_13-28-45.csv,True
Finch,Right,Goodbye,Goodbye,0.9957492351531982,Finch-Goodbye_Right_2025-04-04_13-28-46.csv,True
Finch,Right,Goodbye,Goodbye,0.9995763897895813,Finch-Goodbye_Right_2025-04-04_13-28-47.csv,True
Finch,Left,Hello,Hello,0.9999575614929199,Finch-Hello_Left_2025-04-04_13-18-54.csv,True
Finch,Left,Hello,Hello,0.9999411106109619,Finch-Hello_Left_2025-04-04_13-18-55.csv,True
Finch,Left,Hello,Hello,0.9999325275421143,Finch-Hello_Left_2025-04-04_13-18-56.csv,True
Finch,Left,Hello,Hello,0.9999200105667114,Finch-Hello_Left_2025-04-04_13-18-58.csv,True
Finch,Right,Hello,Hello,0.8265589475631714,Finch-Hello_Right_2025-04-04_13-18-47.csv,True
Finch,Right,Hello,Unknown Gesture,0.5719817876815796,Finch-Hello_Right_2025-04-04_13-18-48.csv,False
Finch,Right,Hello,Goodbye,0.7210307121276855,Finch-Hello_Right_2025-04-04_13-18-49.csv,False
Finch,Left,How-Are-You,How-Are-You,0.9999643564224243,Finch-How-Are-You_Left_2025-04-04_13-24-57.csv,True
Finch,Left,How-Are-You,How-Are-You,0.9999475479125977,Finch-How-Are-You_Left_2025-04-04_13-24-58.csv,True
Finch,Left,How-Are-You,How-Are-You,0.9998883008956909,Finch-How-Are-You_Left_2025-04-04_13-24-59.csv,True
Finch,Left,How-Are-You,How-Are-You,0.9999492168426514,Finch-How-Are-You_Left_2025-04-04_13-25-00.csv,True
Finch,Right,How-Are-You,How-Are-You,0.9916175007820129,Finch-How-Are-You_Right_2025-04-04_13-24-51.csv,True
Finch,Right,How-Are-You,How-Are-You,0.9915375709533691,Finch-How-Are-You_Right_2025-04-04_13-24-52.csv,True
Finch,Right,How-Are-You,How-Are-You,0.9916886687278748,Finch-How-Are-You_Right_2025-04-04_13-24-53.csv,True
Finch,Right,How-Are-You,How-Are-You,0.9911863207817078,Finch-How-Are-You_Right_2025-04-04_13-24-54.csv,True
Finch,Left,No,Stop-Talking,0.9963064193725586,Finch-No_Left_2025-04-04_13-23-49.csv,False
Finch,Left,No,Unknown Gesture,0.5520322918891907,Finch-No_Left_2025-04-04_13-23-50.csv,False
Finch,Left,No,Stop-Talking,0.9045320749282837,Finch-No_Left_2025-04-04_13-23-51.csv,False
Finch,Left,No,Stop-Talking,0.9705725312232971,Finch-No_Left_2025-04-04_13-23-52.csv,False
Finch,Left,No,Stop-Talking,0.7832290530204773,Finch-No_Left_2025-04-04_13-23-53.csv,False
Finch,Left,No,Stop-Talking,0.8650873899459839,Finch-No_Left_2025-04-04_13-23-54.csv,False
Finch,Left,No,No,0.9696038365364075,Finch-No_Left_2025-04-04_13-23-55.csv,True
Finch,Left,No,Unknown Gesture,0.5550318360328674,Finch-No_Left_2025-04-04_13-23-57.csv,False
Finch,Left,No,Stop-Talking,0.8158426284790039,Finch-No_Left_2025-04-04_13-23-58.csv,False
Finch,Right,No,Stop-Talking,0.9998082518577576,Finch-No_Right_2025-04-04_13-23-42.csv,False
Finch,Right,No,Stop-Talking,0.9999065399169922,Finch-No_Right_2025-04-04_13-23-43.csv,False
Finch,Right,No,Stop-Talking,0.9999147653579712,Finch-No_Right_2025-04-04_13-23-44.csv,False
Finch,Right,No,Stop-Talking,0.9999217987060547,Finch-No_Right_2025-04-04_13-23-45.csv,False
Finch,Left,Repeat-That,Repeat-That,0.9678639769554138,Finch-Repeat-That_Left_2025-04-04_13-30-48.csv,True
Finch,Left,Repeat-That,Stop-Talking,0.9153162240982056,Finch-Repeat-That_Left_2025-04-04_13-30-57.csv,False
Finch,Left,Repeat-That,Repeat-That,0.9999740123748779,Finch-Repeat-That_Left_2025-04-04_13-30-58.csv,True
Finch,Left,Repeat-That,Stop-Talking,0.9889445304870605,Finch-Repeat-That_Left_2025-04-04_13-31-01.csv,False
Finch,Left,Repeat-That,Stop-Talking,0.9545214176177979,Finch-Repeat-That_Left_2025-04-04_13-31-02.csv,False
Finch,Left,Repeat-That,Repeat-That,0.9600313305854797,Finch-Repeat-That_Left_2025-04-04_13-31-04.csv,True
Finch,Right,Repeat-That,Yes,0.920727550983429,Finch-Repeat-That_Right_2025-04-04_13-30-39.csv,False
Finch,Right,Repeat-That,Start-Talking,0.9981167316436768,Finch-Repeat-That_Right_2025-04-04_13-30-40.csv,False
Finch,Right,Repeat-That,Start-Talking,0.9998692274093628,Finch-Repeat-That_Right_2025-04-04_13-30-41.csv,False
Finch,Right,Repeat-That,Start-Talking,0.9998075366020203,Finch-Repeat-That_Right_2025-04-04_13-30-42.csv,False
Finch,Right,Repeat-That,Unknown Gesture,0.5173792243003845,Finch-Repeat-That_Right_2025-04-04_13-30-43.csv,False
Finch,Left,Start-Talking,Start-Talking,0.9999990463256836,Finch-Start-Talking_Left_2025-04-04_13-19-24.csv,True
Finch,Left,Start-Talking,Start-Talking,0.996450662612915,Finch-Start-Talking_Left_2025-04-04_13-19-25.csv,True
Finch,Left,Start-Talking,Start-Talking,0.9945546388626099,Finch-Start-Talking_Left_2025-04-04_13-19-26.csv,True
Finch,Left,Start-Talking,Start-Talking,0.9949297308921814,Finch-Start-Talking_Left_2025-04-04_13-19-27.csv,True
Finch,Right,Start-Talking,Start-Talking,1.0,Finch-Start-Talking_Right_2025-04-04_13-19-17.csv,True
Finch,Right,Start-Talking,Start-Talking,1.0,Finch-Start-Talking_Right_2025-04-04_13-19-18.csv,True
Finch,Right,Start-Talking,Start-Talking,1.0,Finch-Start-Talking_Right_2025-04-04_13-19-19.csv,True
Finch,Left,Stop-Talking,Stop-Talking,0.9999998807907104,Finch-Stop-Talking_Left_2025-04-04_13-20-04.csv,True
Finch,Left,Stop-Talking,Stop-Talking,1.0,Finch-Stop-Talking_Left_2025-04-04_13-20-05.csv,True
Finch,Left,Stop-Talking,Stop-Talking,1.0,Finch-Stop-Talking_Left_2025-04-04_13-20-06.csv,True
Finch,Left,Stop-Talking,Stop-Talking,1.0,Finch-Stop-Talking_Left_2025-04-04_13-20-07.csv,True
Finch,Left,Stop-Talking,Stop-Talking,1.0,Finch-Stop-Talking_Left_2025-04-04_13-20-08.csv,True
Finch,Right,Stop-Talking,Stop-Talking,0.9997503161430359,Finch-Stop-Talking_Right_2025-04-04_13-19-57.csv,True
Finch,Right,Stop-Talking,Stop-Talking,0.9997969269752502,Finch-Stop-Talking_Right_2025-04-04_13-19-58.csv,True
Finch,Right,Stop-Talking,Stop-Talking,0.9998372793197632,Finch-Stop-Talking_Right_2025-04-04_13-19-59.csv,True
Finch,Right,Stop-Talking,Stop-Talking,0.9997690320014954,Finch-Stop-Talking_Right_2025-04-04_13-20-00.csv,True
Finch,Right,Stop-Talking,Stop-Talking,0.9997909665107727,Finch-Stop-Talking_Right_2025-04-04_13-20-01.csv,True
Finch,Left,Tell-Me-More,Hello,0.9986621141433716,Finch-Tell-Me-More_Left_2025-04-04_13-30-00.csv,False
Finch,Left,Tell-Me-More,Hello,0.9996922016143799,Finch-Tell-Me-More_Left_2025-04-04_13-30-01.csv,False
Finch,Left,Tell-Me-More,Hello,0.9983398914337158,Finch-Tell-Me-More_Left_2025-04-04_13-30-02.csv,False
Finch,Left,Tell-Me-More,Hello,0.9976041913032532,Finch-Tell-Me-More_Left_2025-04-04_13-30-03.csv,False
Finch,Left,Tell-Me-More,Hello,0.9980040192604065,Finch-Tell-Me-More_Left_2025-04-04_13-30-04.csv,False
Finch,Right,Tell-Me-More,Tell-Me-More,0.9999432563781738,Finch-Tell-Me-More_Right_2025-04-04_13-29-55.csv,True
Finch,Right,Tell-Me-More,Tell-Me-More,0.9998549222946167,Finch-Tell-Me-More_Right_2025-04-04_13-29-56.csv,True
Finch,Right,Tell-Me-More,Tell-Me-More,0.9998230338096619,Finch-Tell-Me-More_Right_2025-04-04_13-29-57.csv,True
Finch,Left,Thank-You,Hello,0.9631628394126892,Finch-Thank-You_Left_2025-04-04_13-27-11.csv,False
Finch,Left,Thank-You,Hello,0.9848648309707642,Finch-Thank-You_Left_2025-04-04_13-27-12.csv,False
Finch,Left,Thank-You,Hello,0.9877089262008667,Finch-Thank-You_Left_2025-04-04_13-27-13.csv,False
Finch,Left,Thank-You,Hello,0.9933347702026367,Finch-Thank-You_Left_2025-04-04_13-27-14.csv,False
Finch,Left,Thank-You,Hello,0.9959298968315125,Finch-Thank-You_Left_2025-04-04_13-27-15.csv,False
Finch,Right,Thank-You,Thank-You,0.9999996423721313,Finch-Thank-You_Right_2025-04-04_13-27-04.csv,True
Finch,Right,Thank-You,Thank-You,0.9999988079071045,Finch-Thank-You_Right_2025-04-04_13-27-05.csv,True
Finch,Right,Thank-You,Thank-You,0.9999988079071045,Finch-Thank-You_Right_2025-04-04_13-27-06.csv,True
Finch,Right,Thank-You,Thank-You,0.9999995231628418,Finch-Thank-You_Right_2025-04-04_13-27-07.csv,True
Finch,Left,Yes,Yes,0.9947821497917175,Finch-Yes_Left_2025-04-04_13-23-07.csv,True
Finch,Left,Yes,Yes,0.9944851994514465,Finch-Yes_Left_2025-04-04_13-23-08.csv,True
Finch,Left,Yes,Yes,0.995448648929596,Finch-Yes_Left_2025-04-04_13-23-09.csv,True
Finch,Left,Yes,Yes,0.9958155751228333,Finch-Yes_Left_2025-04-04_13-23-10.csv,True
Finch,Right,Yes,Yes,0.9998014569282532,Finch-Yes_Right_2025-04-04_13-33-40.csv,True
Finch,Right,Yes,Yes,0.9951430559158325,Finch-Yes_Right_2025-04-04_13-33-41.csv,True
Finch,Right,Yes,Start-Talking,0.7216378450393677,Finch-Yes_Right_2025-04-04_13-33-42.csv,False
Finch,Right,Yes,Unknown Gesture,0.5415953993797302,Finch-Yes_Right_2025-04-04_13-33-43.csv,False
Finch,Right,Yes,Unknown Gesture,0.5800101161003113,Finch-Yes_Right_2025-04-04_13-33-44.csv,False
Mostafa,Left,Goodbye,Hello,0.9949213862419128,Mostafa-Goodbye_Left_2025-04-04_13-05-06.csv,False
Mostafa,Left,Goodbye,Hello,0.9433978796005249,Mostafa-Goodbye_Left_2025-04-04_13-05-07.csv,False
Mostafa,Left,Goodbye,Hello,0.9205226898193359,Mostafa-Goodbye_Left_2025-04-04_13-05-08.csv,False
Mostafa,Left,Goodbye,Hello,0.9239929914474487,Mostafa-Goodbye_Left_2025-04-04_13-05-09.csv,False
Mostafa,Left,Goodbye,Hello,0.9318328499794006,Mostafa-Goodbye_Left_2025-04-04_13-05-10.csv,False
Mostafa,Right,Goodbye,Goodbye,0.9999251365661621,Mostafa-Goodbye_Right_2025-04-04_13-04-02.csv,True
Mostafa,Right,Goodbye,Goodbye,0.9999327659606934,Mostafa-Goodbye_Right_2025-04-04_13-04-03.csv,True
